"Дата операции";"Дата платежа";"Номер карты";"Статус";"Сумма операции";"Валюта операции";"Сумма платежа";"Валюта платежа";"Кэшбэк";"Категория";"MCC";"Описание";"Бонусы (включая кэшбэк)"
"14.10.2017 10:14:19";"";"*9819";"OK";"-9042,65";"RUB";"-9042,65";"RUB";"";"Супермаркеты";"5411";"METRO Cash&Carry";"0,00"
"13.10.2017 19:59:54";"14.10.2017 00:00:00";"*9819";"OK";"-640,00";"RUB";"-640,00";"RUB";"6";"Книги";"5942";"Читай-город";"6,00"
"13.10.2017 12:41:52";"14.10.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"12.10.2017 13:34:14";"12.10.2017 00:00:00";"*9819";"OK";"-4480,62";"RUB";"-4480,62";"RUB";"";"Жкх/иб";"";"ЖКУ-Зел***";"0,00"
"12.10.2017 12:30:41";"13.10.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"11.10.2017 12:29:41";"12.10.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"10.10.2017 15:21:10";"10.10.2017 00:00:00";"*9819";"OK";"-1595,17";"RUB";"-1595,17";"RUB";"";"Жкх/иб";"";"ЖКУ-Мос***";"0,00"
"10.10.2017 15:20:33";"10.10.2017 00:00:00";"*9819";"OK";"-205,00";"RUB";"-205,00";"RUB";"";"Телефония/иб";"";"МГТС Мед*** +7***";"0,00"
"10.10.2017 13:16:27";"11.10.2017 00:00:00";"*9819";"OK";"-30000,00";"RUB";"-30000,00";"RUB";"";"Наличные";"6011";"Снятие наличных: Райффайзен Банк, ***";"0,00"
"10.10.2017 12:33:23";"11.10.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"10.10.2017 07:17:17";"10.10.2017 00:00:00";"*9819";"OK";"-10500,00";"RUB";"-10500,00";"RUB";"";"Переводы/иб";"";"Пополнение Виртуальная карта";"0,00"
"09.10.2017 08:27:47";"11.10.2017 00:00:00";"*9819";"OK";"-110,00";"RUB";"-110,00";"RUB";"5";"Транспорт";"4111";"MOSMETRO.RU KRECHNOY V";"5,00"
"07.10.2017 21:51:41";"08.10.2017 00:00:00";"*9819";"OK";"30000,00";"RUB";"30000,00";"RUB";"";"Финан. услуги";"6012";"Перевод c карты другого банка";"0,00"
"07.10.2017 21:48:17";"07.10.2017 21:48:17";"*7190";"FAILED";"-30000,00";"RUB";"-30000,00";"RUB";"";"";"";"Перевод c карты другого банка";"0,00"
"07.10.2017 21:19:35";"07.10.2017 21:19:35";"*7190";"FAILED";"-30000,00";"RUB";"-30000,00";"RUB";"";"";"";"Перевод c карты другого банка";"0,00"
